date,localName,name,countryCode,fixed,global,counties,launchYear,types
2020-04-12,Ostersonntag,Easter Sunday,DE,False,False,['DE-BB'],,['Public']
2020-04-13,Ostermontag,Easter Monday,DE,False,True,,,['Public']
2020-05-01,Tag der Arbeit,Labour Day,DE,False,True,,,['Public']
2020-05-08,Tag der Befreiung,Liberation Day,DE,False,False,['DE-BE'],,['Public']
2020-05-21,Christi Himmelfahrt,Ascension Day,DE,False,True,,,['Public']
2020-05-31,Pfingstsonntag,Pentecost,DE,False,False,['DE-BB'],,['Public']
2020-06-01,Pfingstmontag,Whit Monday,DE,False,True,,,['Public']
2020-06-11,Fronleichnam,Corpus Christi,DE,False,False,"['DE-BW', 'DE-BY', 'DE-HE', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2020-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,['DE-SL'],,['Public']
2020-09-20,Weltkindertag,World Children's Day,DE,False,False,['DE-TH'],,['Public']
2020-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,,['Public']
2020-10-31,Reformationstag,Reformation Day,DE,False,False,"['DE-BB', 'DE-MV', 'DE-SN', 'DE-ST', 'DE-TH', 'DE-HB', 'DE-HH', 'DE-NI', 'DE-SH']",,['Public']
2020-11-01,Allerheiligen,All Saints' Day,DE,False,False,"['DE-BW', 'DE-BY', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2020-11-18,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,['DE-SN'],,['Public']
2020-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,,['Public']
2020-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,,['Public']
2021-01-01,Neujahr,New Year's Day,DE,False,True,,,['Public']
2021-01-06,Heilige Drei Könige,Epiphany,DE,False,False,"['DE-BW', 'DE-BY', 'DE-ST']",,['Public']
2021-03-08,Internationaler Frauentag,International Women's Day,DE,False,False,['DE-BE'],,['Public']
2021-04-02,Karfreitag,Good Friday,DE,False,True,,,['Public']
2021-04-04,Ostersonntag,Easter Sunday,DE,False,False,['DE-BB'],,['Public']
2021-04-05,Ostermontag,Easter Monday,DE,False,True,,,['Public']
2021-05-01,Tag der Arbeit,Labour Day,DE,False,True,,,['Public']
2021-05-13,Christi Himmelfahrt,Ascension Day,DE,False,True,,,['Public']
2021-05-23,Pfingstsonntag,Pentecost,DE,False,False,['DE-BB'],,['Public']
2021-05-24,Pfingstmontag,Whit Monday,DE,False,True,,,['Public']
2021-06-03,Fronleichnam,Corpus Christi,DE,False,False,"['DE-BW', 'DE-BY', 'DE-HE', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2021-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,['DE-SL'],,['Public']
2021-09-20,Weltkindertag,World Children's Day,DE,False,False,['DE-TH'],,['Public']
2021-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,,['Public']
2021-10-31,Reformationstag,Reformation Day,DE,False,False,"['DE-BB', 'DE-MV', 'DE-SN', 'DE-ST', 'DE-TH', 'DE-HB', 'DE-HH', 'DE-NI', 'DE-SH']",,['Public']
2021-11-01,Allerheiligen,All Saints' Day,DE,False,False,"['DE-BW', 'DE-BY', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2021-11-17,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,['DE-SN'],,['Public']
2021-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,,['Public']
2021-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,,['Public']
2022-01-01,Neujahr,New Year's Day,DE,False,True,,,['Public']
2022-01-06,Heilige Drei Könige,Epiphany,DE,False,False,"['DE-BW', 'DE-BY', 'DE-ST']",,['Public']
2022-03-08,Internationaler Frauentag,International Women's Day,DE,False,False,['DE-BE'],,['Public']
2022-04-15,Karfreitag,Good Friday,DE,False,True,,,['Public']
2022-04-17,Ostersonntag,Easter Sunday,DE,False,False,['DE-BB'],,['Public']
2022-04-18,Ostermontag,Easter Monday,DE,False,True,,,['Public']
2022-05-01,Tag der Arbeit,Labour Day,DE,False,True,,,['Public']
2022-05-26,Christi Himmelfahrt,Ascension Day,DE,False,True,,,['Public']
2022-06-05,Pfingstsonntag,Pentecost,DE,False,False,['DE-BB'],,['Public']
2022-06-06,Pfingstmontag,Whit Monday,DE,False,True,,,['Public']
2022-06-16,Fronleichnam,Corpus Christi,DE,False,False,"['DE-BW', 'DE-BY', 'DE-HE', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2022-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,['DE-SL'],,['Public']
2022-09-20,Weltkindertag,World Children's Day,DE,False,False,['DE-TH'],,['Public']
2022-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,,['Public']
2022-10-31,Reformationstag,Reformation Day,DE,False,False,"['DE-BB', 'DE-MV', 'DE-SN', 'DE-ST', 'DE-TH', 'DE-HB', 'DE-HH', 'DE-NI', 'DE-SH']",,['Public']
2022-11-01,Allerheiligen,All Saints' Day,DE,False,False,"['DE-BW', 'DE-BY', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2022-11-16,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,['DE-SN'],,['Public']
2022-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,,['Public']
2022-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,,['Public']
2023-01-01,Neujahr,New Year's Day,DE,False,True,,,['Public']
2023-01-06,Heilige Drei Könige,Epiphany,DE,False,False,"['DE-BW', 'DE-BY', 'DE-ST']",,['Public']
2023-03-08,Internationaler Frauentag,International Women's Day,DE,False,False,"['DE-BE', 'DE-MV']",,['Public']
2023-04-07,Karfreitag,Good Friday,DE,False,True,,,['Public']
2023-04-09,Ostersonntag,Easter Sunday,DE,False,False,['DE-BB'],,['Public']
2023-04-10,Ostermontag,Easter Monday,DE,False,True,,,['Public']
2023-05-01,Tag der Arbeit,Labour Day,DE,False,True,,,['Public']
2023-05-18,Christi Himmelfahrt,Ascension Day,DE,False,True,,,['Public']
2023-05-28,Pfingstsonntag,Pentecost,DE,False,False,['DE-BB'],,['Public']
2023-05-29,Pfingstmontag,Whit Monday,DE,False,True,,,['Public']
2023-06-08,Fronleichnam,Corpus Christi,DE,False,False,"['DE-BW', 'DE-BY', 'DE-HE', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2023-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,['DE-SL'],,['Public']
2023-09-20,Weltkindertag,World Children's Day,DE,False,False,['DE-TH'],,['Public']
2023-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,,['Public']
2023-10-31,Reformationstag,Reformation Day,DE,False,False,"['DE-BB', 'DE-MV', 'DE-SN', 'DE-ST', 'DE-TH', 'DE-HB', 'DE-HH', 'DE-NI', 'DE-SH']",,['Public']
2023-11-01,Allerheiligen,All Saints' Day,DE,False,False,"['DE-BW', 'DE-BY', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2023-11-22,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,['DE-SN'],,['Public']
2023-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,,['Public']
2023-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,,['Public']
2024-01-01,Neujahr,New Year's Day,DE,False,True,,,['Public']
2024-01-06,Heilige Drei Könige,Epiphany,DE,False,False,"['DE-BW', 'DE-BY', 'DE-ST']",,['Public']
2024-03-08,Internationaler Frauentag,International Women's Day,DE,False,False,"['DE-BE', 'DE-MV']",,['Public']
2024-03-29,Karfreitag,Good Friday,DE,False,True,,,['Public']
2024-03-31,Ostersonntag,Easter Sunday,DE,False,False,['DE-BB'],,['Public']
2024-04-01,Ostermontag,Easter Monday,DE,False,True,,,['Public']
2024-05-01,Tag der Arbeit,Labour Day,DE,False,True,,,['Public']
2024-05-09,Christi Himmelfahrt,Ascension Day,DE,False,True,,,['Public']
2024-05-19,Pfingstsonntag,Pentecost,DE,False,False,['DE-BB'],,['Public']
2024-05-20,Pfingstmontag,Whit Monday,DE,False,True,,,['Public']
2024-05-30,Fronleichnam,Corpus Christi,DE,False,False,"['DE-BW', 'DE-BY', 'DE-HE', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2024-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,['DE-SL'],,['Public']
2024-09-20,Weltkindertag,World Children's Day,DE,False,False,['DE-TH'],,['Public']
2024-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,,['Public']
2024-10-31,Reformationstag,Reformation Day,DE,False,False,"['DE-BB', 'DE-MV', 'DE-SN', 'DE-ST', 'DE-TH', 'DE-HB', 'DE-HH', 'DE-NI', 'DE-SH']",,['Public']
2024-11-01,Allerheiligen,All Saints' Day,DE,False,False,"['DE-BW', 'DE-BY', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2024-11-20,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,['DE-SN'],,['Public']
2024-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,,['Public']
2024-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,,['Public']
2025-01-01,Neujahr,New Year's Day,DE,False,True,,,['Public']
2025-01-06,Heilige Drei Könige,Epiphany,DE,False,False,"['DE-BW', 'DE-BY', 'DE-ST']",,['Public']
2025-03-08,Internationaler Frauentag,International Women's Day,DE,False,False,"['DE-BE', 'DE-MV']",,['Public']
2025-04-18,Karfreitag,Good Friday,DE,False,True,,,['Public']
2025-04-20,Ostersonntag,Easter Sunday,DE,False,False,['DE-BB'],,['Public']
2025-04-21,Ostermontag,Easter Monday,DE,False,True,,,['Public']
2025-05-01,Tag der Arbeit,Labour Day,DE,False,True,,,['Public']
2025-05-08,Tag der Befreiung,Liberation Day,DE,False,False,['DE-BE'],,['Public']
2025-05-29,Christi Himmelfahrt,Ascension Day,DE,False,True,,,['Public']
2025-06-08,Pfingstsonntag,Pentecost,DE,False,False,['DE-BB'],,['Public']
2025-06-09,Pfingstmontag,Whit Monday,DE,False,True,,,['Public']
2025-06-19,Fronleichnam,Corpus Christi,DE,False,False,"['DE-BW', 'DE-BY', 'DE-HE', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2025-08-15,Mariä Himmelfahrt,Assumption Day,DE,False,False,['DE-SL'],,['Public']
2025-09-20,Weltkindertag,World Children's Day,DE,False,False,['DE-TH'],,['Public']
2025-10-03,Tag der Deutschen Einheit,German Unity Day,DE,False,True,,,['Public']
2025-10-31,Reformationstag,Reformation Day,DE,False,False,"['DE-BB', 'DE-MV', 'DE-SN', 'DE-ST', 'DE-TH', 'DE-HB', 'DE-HH', 'DE-NI', 'DE-SH']",,['Public']
2025-11-01,Allerheiligen,All Saints' Day,DE,False,False,"['DE-BW', 'DE-BY', 'DE-NW', 'DE-RP', 'DE-SL']",,['Public']
2025-11-19,Buß- und Bettag,Repentance and Prayer Day,DE,False,False,['DE-SN'],,['Public']
2025-12-25,Erster Weihnachtstag,Christmas Day,DE,False,True,,,['Public']
2025-12-26,Zweiter Weihnachtstag,St. Stephen's Day,DE,False,True,,,['Public']
2020-01-01,Deň vzniku Slovenskej republiky,Day of the Establishment of the Slovak Republic,SK,False,True,,,['Public']
2020-01-06,Zjavenie Pána,Epiphany,SK,False,True,,,['Public']
2020-04-10,Veľkonočný piatok,Good Friday,SK,False,True,,,['Public']
2020-04-13,Veľkonočný pondelok,Easter Monday,SK,False,True,,,['Public']
2020-05-01,Sviatok práce,International Workers' Day,SK,False,True,,,['Public']
2020-05-08,Deň víťazstva nad fašizmom,Day of victory over fascism,SK,False,True,,,['Public']
2020-07-05,Sviatok svätého Cyrila a svätého Metoda,St. Cyril and Methodius Day,SK,False,True,,,['Public']
2020-08-29,Výročie Slovenského národného povstania,Slovak National Uprising anniversary,SK,False,True,,,['Public']
2020-09-01,Deň Ústavy Slovenskej republiky,Day of the Constitution of the Slovak Republic,SK,False,True,,,['Public']
2020-09-15,Sedembolestná Panna Mária,Day of Our Lady of the Seven Sorrows,SK,False,True,,,['Public']
2020-11-01,Sviatok Všetkých svätých,All Saints’ Day,SK,False,True,,,['Public']
2020-11-17,Deň boja za slobodu a demokraciu,Struggle for Freedom and Democracy Day,SK,False,True,,,['Public']
2020-12-24,Štedrý deň,Christmas Eve,SK,False,True,,,['Public']
2020-12-25,Prvý sviatok vianočný,Christmas Day,SK,False,True,,,['Public']
2020-12-26,Druhý sviatok vianočný,St. Stephen's Day,SK,False,True,,,['Public']
2021-01-01,Deň vzniku Slovenskej republiky,Day of the Establishment of the Slovak Republic,SK,False,True,,,['Public']
2021-01-06,Zjavenie Pána,Epiphany,SK,False,True,,,['Public']
2021-04-02,Veľkonočný piatok,Good Friday,SK,False,True,,,['Public']
2021-04-05,Veľkonočný pondelok,Easter Monday,SK,False,True,,,['Public']
2021-05-01,Sviatok práce,International Workers' Day,SK,False,True,,,['Public']
2021-05-08,Deň víťazstva nad fašizmom,Day of victory over fascism,SK,False,True,,,['Public']
2021-07-05,Sviatok svätého Cyrila a svätého Metoda,St. Cyril and Methodius Day,SK,False,True,,,['Public']
2021-08-29,Výročie Slovenského národného povstania,Slovak National Uprising anniversary,SK,False,True,,,['Public']
2021-09-01,Deň Ústavy Slovenskej republiky,Day of the Constitution of the Slovak Republic,SK,False,True,,,['Public']
2021-09-15,Sedembolestná Panna Mária,Day of Our Lady of the Seven Sorrows,SK,False,True,,,['Public']
2021-11-01,Sviatok Všetkých svätých,All Saints’ Day,SK,False,True,,,['Public']
2021-11-17,Deň boja za slobodu a demokraciu,Struggle for Freedom and Democracy Day,SK,False,True,,,['Public']
2021-12-24,Štedrý deň,Christmas Eve,SK,False,True,,,['Public']
2021-12-25,Prvý sviatok vianočný,Christmas Day,SK,False,True,,,['Public']
2021-12-26,Druhý sviatok vianočný,St. Stephen's Day,SK,False,True,,,['Public']
2022-01-01,Deň vzniku Slovenskej republiky,Day of the Establishment of the Slovak Republic,SK,False,True,,,['Public']
2022-01-06,Zjavenie Pána,Epiphany,SK,False,True,,,['Public']
2022-04-15,Veľkonočný piatok,Good Friday,SK,False,True,,,['Public']
2022-04-18,Veľkonočný pondelok,Easter Monday,SK,False,True,,,['Public']
2022-05-01,Sviatok práce,International Workers' Day,SK,False,True,,,['Public']
2022-05-08,Deň víťazstva nad fašizmom,Day of victory over fascism,SK,False,True,,,['Public']
2022-07-05,Sviatok svätého Cyrila a svätého Metoda,St. Cyril and Methodius Day,SK,False,True,,,['Public']
2022-08-29,Výročie Slovenského národného povstania,Slovak National Uprising anniversary,SK,False,True,,,['Public']
2022-09-01,Deň Ústavy Slovenskej republiky,Day of the Constitution of the Slovak Republic,SK,False,True,,,['Public']
2022-09-15,Sedembolestná Panna Mária,Day of Our Lady of the Seven Sorrows,SK,False,True,,,['Public']
2022-11-01,Sviatok Všetkých svätých,All Saints’ Day,SK,False,True,,,['Public']
2022-11-17,Deň boja za slobodu a demokraciu,Struggle for Freedom and Democracy Day,SK,False,True,,,['Public']
2022-12-24,Štedrý deň,Christmas Eve,SK,False,True,,,['Public']
2022-12-25,Prvý sviatok vianočný,Christmas Day,SK,False,True,,,['Public']
2022-12-26,Druhý sviatok vianočný,St. Stephen's Day,SK,False,True,,,['Public']
2023-01-01,Deň vzniku Slovenskej republiky,Day of the Establishment of the Slovak Republic,SK,False,True,,,['Public']
2023-01-06,Zjavenie Pána,Epiphany,SK,False,True,,,['Public']
2023-04-07,Veľkonočný piatok,Good Friday,SK,False,True,,,['Public']
2023-04-10,Veľkonočný pondelok,Easter Monday,SK,False,True,,,['Public']
2023-05-01,Sviatok práce,International Workers' Day,SK,False,True,,,['Public']
2023-05-08,Deň víťazstva nad fašizmom,Day of victory over fascism,SK,False,True,,,['Public']
2023-07-05,Sviatok svätého Cyrila a svätého Metoda,St. Cyril and Methodius Day,SK,False,True,,,['Public']
2023-08-29,Výročie Slovenského národného povstania,Slovak National Uprising anniversary,SK,False,True,,,['Public']
2023-09-01,Deň Ústavy Slovenskej republiky,Day of the Constitution of the Slovak Republic,SK,False,True,,,['Public']
2023-09-15,Sedembolestná Panna Mária,Day of Our Lady of the Seven Sorrows,SK,False,True,,,['Public']
2023-11-01,Sviatok Všetkých svätých,All Saints’ Day,SK,False,True,,,['Public']
2023-11-17,Deň boja za slobodu a demokraciu,Struggle for Freedom and Democracy Day,SK,False,True,,,['Public']
2023-12-24,Štedrý deň,Christmas Eve,SK,False,True,,,['Public']
2023-12-25,Prvý sviatok vianočný,Christmas Day,SK,False,True,,,['Public']
2023-12-26,Druhý sviatok vianočný,St. Stephen's Day,SK,False,True,,,['Public']
2024-01-01,Deň vzniku Slovenskej republiky,Day of the Establishment of the Slovak Republic,SK,False,True,,,['Public']
2024-01-06,Zjavenie Pána,Epiphany,SK,False,True,,,['Public']
2024-03-29,Veľkonočný piatok,Good Friday,SK,False,True,,,['Public']
2024-04-01,Veľkonočný pondelok,Easter Monday,SK,False,True,,,['Public']
2024-05-01,Sviatok práce,International Workers' Day,SK,False,True,,,['Public']
2024-05-08,Deň víťazstva nad fašizmom,Day of victory over fascism,SK,False,True,,,['Public']
2024-07-05,Sviatok svätého Cyrila a svätého Metoda,St. Cyril and Methodius Day,SK,False,True,,,['Public']
2024-08-29,Výročie Slovenského národného povstania,Slovak National Uprising anniversary,SK,False,True,,,['Public']
2024-09-01,Deň Ústavy Slovenskej republiky,Day of the Constitution of the Slovak Republic,SK,False,True,,,['Public']
2024-09-15,Sedembolestná Panna Mária,Day of Our Lady of the Seven Sorrows,SK,False,True,,,['Public']
2024-11-01,Sviatok Všetkých svätých,All Saints’ Day,SK,False,True,,,['Public']
2024-11-17,Deň boja za slobodu a demokraciu,Struggle for Freedom and Democracy Day,SK,False,True,,,['Public']
2024-12-24,Štedrý deň,Christmas Eve,SK,False,True,,,['Public']
2024-12-25,Prvý sviatok vianočný,Christmas Day,SK,False,True,,,['Public']
2024-12-26,Druhý sviatok vianočný,St. Stephen's Day,SK,False,True,,,['Public']
2025-01-01,Deň vzniku Slovenskej republiky,Day of the Establishment of the Slovak Republic,SK,False,True,,,['Public']
2025-01-06,Zjavenie Pána,Epiphany,SK,False,True,,,['Public']
2025-04-18,Veľkonočný piatok,Good Friday,SK,False,True,,,['Public']
2025-04-21,Veľkonočný pondelok,Easter Monday,SK,False,True,,,['Public']
2025-05-01,Sviatok práce,International Workers' Day,SK,False,True,,,['Public']
2025-05-08,Deň víťazstva nad fašizmom,Day of victory over fascism,SK,False,True,,,['Public']
2025-07-05,Sviatok svätého Cyrila a svätého Metoda,St. Cyril and Methodius Day,SK,False,True,,,['Public']
2025-08-29,Výročie Slovenského národného povstania,Slovak National Uprising anniversary,SK,False,True,,,['Public']
2025-09-15,Sedembolestná Panna Mária,Day of Our Lady of the Seven Sorrows,SK,False,True,,,['Public']
2025-11-01,Sviatok Všetkých svätých,All Saints’ Day,SK,False,True,,,['Public']
2025-12-24,Štedrý deň,Christmas Eve,SK,False,True,,,['Public']
2025-12-25,Prvý sviatok vianočný,Christmas Day,SK,False,True,,,['Public']
2025-12-26,Druhý sviatok vianočný,St. Stephen's Day,SK,False,True,,,['Public']
2020-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,CZ,False,True,,,['Public']
2020-04-10,Velký pátek,Good Friday,CZ,False,True,,,['Public']
2020-04-13,Velikonoční pondělí,Easter Monday,CZ,False,True,,,['Public']
2020-05-01,Svátek práce,Labour Day,CZ,False,True,,,['Public']
2020-05-08,Den vítězství,Liberation Day,CZ,False,True,,,['Public']
2020-07-05,Den slovanských věrozvěstů Cyrila a Metoděje,Saints Cyril and Methodius Day,CZ,False,True,,,['Public']
2020-07-06,Den upálení mistra Jana Husa,Jan Hus Day,CZ,False,True,,,['Public']
2020-09-28,Den české státnosti,St. Wenceslas Day,CZ,False,True,,,['Public']
2020-10-28,Den vzniku samostatného československého státu,Independent Czechoslovak State Day,CZ,False,True,,,['Public']
2020-11-17,Den boje za svobodu a demokracii a Mezinárodní den studentstva,Struggle for Freedom and Democracy Day,CZ,False,True,,,['Public']
2020-12-24,Štědrý den,Christmas Eve,CZ,False,True,,,['Public']
2020-12-25,1. svátek vánoční,Christmas Day,CZ,False,True,,,['Public']
2020-12-26,2. svátek vánoční,St. Stephen's Day,CZ,False,True,,,['Public']
2021-01-01,Den obnovy samostatného českého státu; Nový rok,New Year's Day,CZ,False,True,,,['Public']
2021-04-02,Velký pátek,Good Friday,CZ,False,True,,,['Public']
2021-04-05,Velikonoční pondělí,Easter Monday,CZ,False,True,,,['Public']
